usb,ch,normal,ctrl,shift,both
0x0,0,0x0,0x0,0x0,0x0
0x1,0,0x0,0x0,0x0,0x0
0x2,0,0x0,0x0,0x0,0x0
0x3,0,0x0,0x0,0x0,0x0
0x4,a,0x61,0x01,0x41,0x01
0x5,b,0x62,0x02,0x42,0x02
0x6,c,0x63,0x03,0x43,0x03
0x7,d,0x64,0x04,0x44,0x04
0x8,e,0x65,0x05,0x45,0x05
0x9,f,0x66,0x06,0x46,0x06
0xa,g,0x67,0x07,0x47,0x07
0xb,h,0x68,0x08,0x48,0x08
0xc,i,0x69,0x09,0x49,0x09
0xd,j,0x6A,0x0A,0x4A,0x0A
0xe,k,0x6B,0x0B,0x4B,0x0B
0xf,l,0x6C,0x0C,0x4c,0x0C
0x10,m,0x6D,0x0D,0x4d,0x0D
0x11,n,0x6E,0x0E,0x4e,0x0E
0x12,o,0x6F,0x0F,0x4f,0x0F
0x13,p,0x70,0x10,0x50,0x10
0x14,q,0x71,0x11,0x51,0x11
0x15,r,0x72,0x12,0x52,0x12
0x16,s,0x73,0x13,0x53,0x13
0x17,t,0x74,0x14,0x54,0x14
0x18,u,0x75,0x15,0x55,0x15
0x19,v,0x76,0x16,0x56,0x16
0x1a,w,0x77,0x17,0x57,0x17
0x1b,x,0x78,0x18,0x58,0x18
0x1c,y,0x79,0x19,0x59,0x19
0x1d,z,0x7A,0x1A,0x5A,0x1A
0x1e,1,0x31,0x31,0x21,0x21
0x1f,2,0x32,0x00,0x40,0x00
0x20,3,0x33,0x33,0x23,0x23
0x21,4,0x34,0x34,0x24,0x24
0x22,5,0x35,0x35,0x25,0x25
0x23,6,0x36,0x1E,0x5E,0x1e
0x24,7,0x37,0x37,0x26,0x26
0x25,8,0x38,0x38,0x2A,0x2a
0x26,9,0x39,0x39,0x28,0x28
0x27,0,0x30,0x30,0x29,0x29
0x28,CR,0x0D,0x0D,0x0D,0x0D
0x29,ESC,0x1B,0x1B,0x1B,0x1B
0x2a,BS,0x7F,0x7F,0x7F,0x7F
0x2b,TAB,0x09,0x09,0x09,0x09
0x2c,SP,0x20,0x20,0x20,0x20
0x2d,-,0x2d,0x1f,0x5f,0x1f
0x2e,=,0x3d,0x3d,0x2b,0x2b
0x2f,[,0x5b,0x1b,0x7b,0x1b
0x30,],0x5d,0x1d,0x7d,0x1d
0x31,\\,0x5c,0x1c,0x7c,0x1c
0x32,~,0x7e,0x7e,0x60,0x60
0x33,;,0x3b,0x3b,0x3a,0x3a
0x34,',0x27,0x27,0x22,0x22
0x35,`,0x60,0x60,0x7E,0x7e
0x36,comma,0x2c,0x2c,0x3c,0x3c
0x37,.,0x2e,0x2e,0x3e,0x3e
0x38,/,0x2f,0x2f,0x3f,0x3f
0x39,CAPS,0x0,0x0,0x0,0x0
0x3a,f1,0x0,0x0,0x0,0x0
0x3b,f2,0x0,0x0,0x0,0x0
0x3c,f3,0x0,0x0,0x0,0x0
0x3d,f4,0x0,0x0,0x0,0x0
0x3e,f5,0x0,0x0,0x0,0x0
0x3f,f6,0x0,0x0,0x0,0x0
0x40,f7,0x0,0x0,0x0,0x0
0x41,f8,0x0,0x0,0x0,0x0
0x42,f9,0x0,0x0,0x0,0x0
0x43,f10,0x0,0x0,0x0,0x0
0x44,f11,0x0,0x0,0x0,0x0
0x45,f12,0x0,0x0,0x0,0x0
0x46,print_scrn,0x0,0x0,0x0,0x0
0x47,scroll_lock,0x0,0x0,0x0,0x0
0x48,pause,0x0,0x0,0x0,0x0
0x49,insert,0x0,0x0,0x0,0x0
0x4a,home,0x0,0x0,0x0,0x0
0x4b,page_up,0x0,0x0,0x0,0x0
0x4c,delete_forward,0x0,0x0,0x0,0x0
0x4d,end,0x0,0x0,0x0,0x0
0x4e,page_Down,0x0,0x0,0x0,0x0
0x4f,right_arrow,0x15,0x15,0x15,0x15
0x50,left_arrow,0x08,0x08,0x08,0x08
0x51,down_arrow,0x0A,0x0A,0x0A,0x0A
0x52,up_arrow,0x0B,0x0B,0x0B,0x0B
0x53,,0x0,0x0,0x0,0x0
0x54,,0x0,0x0,0x0,0x0
0x55,,0x0,0x0,0x0,0x0
0x56,,0x0,0x0,0x0,0x0
0x57,,0x0,0x0,0x0,0x0
0x58,,0x0,0x0,0x0,0x0
0x59,,0x0,0x0,0x0,0x0
0x5a,,0x0,0x0,0x0,0x0
0x5b,,0x0,0x0,0x0,0x0
0x5c,,0x0,0x0,0x0,0x0
0x5d,,0x0,0x0,0x0,0x0
0x5e,,0x0,0x0,0x0,0x0
0x5f,,0x0,0x0,0x0,0x0
0x60,,0x0,0x0,0x0,0x0
0x61,,0x0,0x0,0x0,0x0
0x62,,0x0,0x0,0x0,0x0
0x63,,0x0,0x0,0x0,0x0
0x64,,0x0,0x0,0x0,0x0
0x65,,0x0,0x0,0x0,0x0
0x66,,0x0,0x0,0x0,0x0
0x67,,0x0,0x0,0x0,0x0
0x68,,0x0,0x0,0x0,0x0
0x69,,0x0,0x0,0x0,0x0